filename,region_1_abs,region_1_signed,region_1_over,region_1_under,region_2_abs,region_2_signed,region_2_over,region_2_under,region_3_abs,region_3_signed,region_3_over,region_3_under,total_abs,total_signed,total_over,total_under
U-Net_55_1_cell_counts_train.csv,7.956124468,5.67651654,8.411629558,-6.296059989,10.18897811,3.682010535,10.91698181,-9.21820407,12.20758668,-9.600717106,6.034420317,-14.19811445,10.17083713,-0.195813776,9.098505215,-11.79046562
U-Net_55_1_cell_counts_test.csv,13.19940276,3.84101846,10.98658737,-22.92804154,7.211005708,3.079049611,8.171514518,-5.871727086,9.448344676,-8.133270616,3.48494626,-10.83518152,9.852098151,-0.490927943,8.904527758,-11.20494493
U-Net_55_2_cell_counts_train.csv,21.35812063,20.79039174,21.53844685,-13.17131009,19.10255892,16.61325248,19.79898241,-14.42666231,9.644731455,-0.130418635,8.942023326,-11.0080519,16.60436821,12.2485015,18.02081778,-11.63142668
U-Net_55_2_cell_counts_test.csv,24.13780916,19.072449,23.01415924,-41.36710795,16.57283758,15.78085552,17.47099427,-7.127838559,7.775208112,-0.683107296,7.22848737,-8.965814332,15.96007633,11.22122764,17.37821074,-11.92355477
U-Net_55_25_cell_counts_train.csv,50.53217361,50.22622003,51.0391863,-17.74530779,42.61727257,40.88272969,42.75602525,-36.8590362,17.45638179,11.98284369,18.49197581,-14.55728217,36.5738999,34.02074632,38.42559399,-17.106129
U-Net_cell_counts_55_15_train.csv,11.28953927,10.04755283,11.40600315,-9.604695116,11.77173796,7.531380464,12.88558953,-8.720090019,10.07033853,-5.722173092,7.151587887,-11.6121409,11.04280993,3.827667573,11.32184083,-10.76429134
U-Net_cell_counts_55_15_test.csv,15.45830655,8.63074277,14.05194543,-23.89647322,9.483876192,7.102463478,10.4146784,-6.429814329,8.204690948,-5.357403179,5.030208392,-9.457776168,10.9258651,3.349340096,11.13466005,-10.74489
workflow_eval_cell_counts.csv,7.66182315,7.66182315,8.300308412,,3.155170911,3.155170911,3.155170911,,5.476996963,5.476996963,5.476996963,,5.64981296,5.64981296,5.844634096,
workflow_test_cell_counts.csv,10.32665752,1.993781915,9.432836445,-12.75971578,6.288331566,2.156606473,6.162522352,-6.972286094,6.757962311,-4.143908225,4.32952708,-8.497046153,7.716334139,-0.035096619,7.048665018,-9.160781805
workflow_train_cell_counts.csv,6.419106838,3.293270768,6.997737903,-5.255028756,7.391412098,1.842784155,8.009251852,-7.004456066,8.169639629,-4.36945809,6.250298584,-9.442091655,7.349325344,0.192108895,7.237027388,-7.849506731
