file name,manual count,auto count
32lr3,281,279
36ld3,179,179
36_8_lu1,302,0
8ld3,46,46
11rr3,235,233
6ll3,204,204
35_8_ru1,433,433
40rr2,292,290
5ll1,438,436
39rd1,440,439
28_4_ll2,372,368
41_8_rl2,241,241
32rr1,481,481
25_4_ld3,166,165
33ld1,382,382
27_4_lr3,226,226
12rl3,299,298
27_4_rl3,398,396
31lr2,168,168
39ru2,483,479
39ll2,332,330
11lr1,448,446
2rl1,366,365
20ru2,203,203
33_8_lu3,240,239
11ru3,366,360
15rl2,428,424
35_8_ru3,273,272
39lr1,385,383
41_8_ru3,206,206
33ll1,439,436
11ru2,420 ,415
42_8_lu2,294,294
42_8_rr2,391,391
2lr1,535,526
20lr2,238,238
41_8_rr3,324,323
33_8_lu2,447,445
37_8_rl1,403,0
1lu2,283,282
31rr3,172,171
16rr3,294,292
36_8_ld1,464,463
4ll2,266,266
7ru1,360,360
18rl3,309,308
36ru2,376,375
25_4_rl1,440,439
12lr1,328,326
4ru3,142,139
2lu2,518,508
35ru1,426,422
38_8_lr3,367,367
25_4_rr1,421,422
11ll1,473,465
39rl2,500,500
29_4_ld3,264,257
25_4_lu2,447,444
35_8_rl3,260,260
36lr3,82,82
31ru3,188,186
35_8_ll3,127,126
38_8_ll2,334,333
39ru3,318,318
3lu2,294,290
33_8_ld2,408,408
29_4_rl2,363,361
10ru3,201,201
41_8_ld3,297,297
36_8_lr3,268,266
37_8_lr2,366,0
15lu1,360,358
31ll1,404,404
21_4_ru3,263,262
41_8_ld1,501,501
6rr1,357,357
33rr2,421,421
34_8_ld1,392,391
4ll3,139 ,136
1rl2,228,228
20ld1,418,415
37ld1,330 ,329
23lu1,361,359
23_8_lr2,198,0
8rr3,251,173
11rr2,373,368
31_8_rl3,256,256
2rl2,437,430
31_8_rr3,212,212
7rd1,374,373
41_8_rd1,500,500
13rr1,378,374
33ll3,438,435
25_4_lr3,379,378
37_8_ld3,218,0
33ru3,231,241
24_4_lu2,287,286
23_8_rl1,441,447
1ru1,452,451
38_8_rl2,255,253
35_8_rl2,431,431
38_8_ll1,406,406
10rl3,151,151
3ld3,157,0
25_4_lr2,395,392
1ld2,398,395
33_8_ll3,276,276
41_8_lr1,512,510
33rd3,295,291
41_8_rr2,502,501
19rr2,462,462
5ld3,186,186
38rr2,275,275
41_8_ru2,561,561
23rl2,285,283
2ll3,274,272
31_8_ru1,615,614
16ll2,319,316
35rd2,411,413
24_4_ld3,277,276
18ld3,223,218
36rr1,414,413
33_8_rd1,414,413
32ld3,265,262
35_8_lu3,296,295
39ru1,477,474
3lu3,142,140
38ll3,241,240
19ld2,493,491
1rd3,283,284
33rr1,408,407
35ll2,251,250
3lu1,275,275
10ll3,160 ,160
21_4_ll1,431,430
34_8_ru1,401,408
34_8_ll2,357,356
3ll2,366,362
20rl2,402,399
31_8_lr3,142,142
33_8_ru3,272,270
36_8_ru1,399,0
37_8_ld1,400,400
41_8_rr1,474,473
18lu2,315,313
7rr2,313,312
31_8_lr1,524,524
32lu1,423,423
30_4_rr3,189,188
17lr1,518,515
30_4_ru3,243,243
5ld2,305,304
18ll3,237,237
8ru3,251,250
30_4_rd3,207,205
36_8_ld3,268,265
