Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,Light-U-Net_55_25,381,379,379,383,-4,4.0,-1.0554089709762533,1.0554089709762533,369,10,10.0,2.638522427440633,2.638522427440633
10ld3,Light-U-Net_55_25,239,238,238,288,-50,50.0,-21.008403361344538,21.008403361344538,272,-34,34.0,-14.285714285714285,14.285714285714285
10ll1,Light-U-Net_55_25,341,338,338,380,-42,42.0,-12.42603550295858,12.42603550295858,366,-28,28.0,-8.284023668639055,8.284023668639055
10lr2,Light-U-Net_55_25,349,346,346,374,-28,28.0,-8.092485549132949,8.092485549132949,355,-9,9.0,-2.601156069364162,2.601156069364162
10lr3,Light-U-Net_55_25,183,182,182,269,-87,87.0,-47.8021978021978,47.8021978021978,259,-77,77.0,-42.30769230769231,42.30769230769231
10lu1,Light-U-Net_55_25,380,377,377,396,-19,19.0,-5.039787798408488,5.039787798408488,378,-1,1.0,-0.2652519893899204,0.2652519893899204
10lu2,Light-U-Net_55_25,392,387,387,392,-5,5.0,-1.2919896640826873,1.2919896640826873,369,18,18.0,4.651162790697675,4.651162790697675
10lu3,Light-U-Net_55_25,171,170,170,308,-138,138.0,-81.17647058823529,81.17647058823529,284,-114,114.0,-67.05882352941175,67.05882352941175
10rd2,Light-U-Net_55_25,419,417,417,395,22,22.0,5.275779376498801,5.275779376498801,373,44,44.0,10.551558752997602,10.551558752997602
10rl1,Light-U-Net_55_25,417,416,416,388,28,28.0,6.730769230769231,6.730769230769231,372,44,44.0,10.576923076923077,10.576923076923077
10rl2,Light-U-Net_55_25,373,371,371,346,25,25.0,6.738544474393531,6.738544474393531,326,45,45.0,12.129380053908356,12.129380053908356
10rr1,Light-U-Net_55_25,448,444,444,413,31,31.0,6.981981981981981,6.981981981981981,395,49,49.0,11.036036036036036,11.036036036036036
10rr2,Light-U-Net_55_25,237,235,235,257,-22,22.0,-9.361702127659575,9.361702127659575,246,-11,11.0,-4.680851063829787,4.680851063829787
10rr3,Light-U-Net_55_25,175,176,176,199,-23,23.0,-13.068181818181818,13.068181818181818,189,-13,13.0,-7.386363636363637,7.386363636363637
