Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,U-Net_55_075,381,379,379,401,-22,22.0,-5.804749340369393,5.804749340369393,393,-14,14.0,-3.6939313984168867,3.6939313984168867
10ld3,U-Net_55_075,239,238,238,292,-54,54.0,-22.689075630252102,22.689075630252102,277,-39,39.0,-16.386554621848738,16.386554621848738
10ll1,U-Net_55_075,341,338,338,397,-59,59.0,-17.45562130177515,17.45562130177515,386,-48,48.0,-14.201183431952662,14.201183431952662
10lr2,U-Net_55_075,349,346,346,381,-35,35.0,-10.115606936416185,10.115606936416185,371,-25,25.0,-7.225433526011561,7.225433526011561
10lr3,U-Net_55_075,183,182,182,254,-72,72.0,-39.56043956043956,39.56043956043956,239,-57,57.0,-31.318681318681318,31.318681318681318
10lu1,U-Net_55_075,380,377,377,407,-30,30.0,-7.957559681697612,7.957559681697612,397,-20,20.0,-5.305039787798409,5.305039787798409
10lu2,U-Net_55_075,392,387,387,395,-8,8.0,-2.0671834625323,2.0671834625323,385,2,2.0,0.516795865633075,0.516795865633075
10lu3,U-Net_55_075,171,170,170,285,-115,115.0,-67.64705882352942,67.64705882352942,270,-100,100.0,-58.82352941176471,58.82352941176471
10rd2,U-Net_55_075,419,417,417,409,8,8.0,1.9184652278177456,1.9184652278177456,399,18,18.0,4.316546762589928,4.316546762589928
10rl1,U-Net_55_075,417,416,416,425,-9,9.0,-2.1634615384615383,2.1634615384615383,410,6,6.0,1.4423076923076923,1.4423076923076923
10rl2,U-Net_55_075,373,371,371,0,371,371.0,100.0,100.0,0,371,371.0,100.0,100.0
10rr1,U-Net_55_075,448,444,444,433,11,11.0,2.4774774774774775,2.4774774774774775,416,28,28.0,6.306306306306306,6.306306306306306
10rr2,U-Net_55_075,237,235,235,0,235,235.0,100.0,100.0,0,235,235.0,100.0,100.0
10rr3,U-Net_55_075,175,176,176,211,-35,35.0,-19.886363636363637,19.886363636363637,199,-23,23.0,-13.068181818181818,13.068181818181818
10ru1,U-Net_55_075,386,384,384,406,-22,22.0,-5.729166666666666,5.729166666666666,395,-11,11.0,-2.864583333333333,2.864583333333333
10ru2,U-Net_55_075,416,413,413,0,413,413.0,100.0,100.0,0,413,413.0,100.0,100.0
10ru3,U-Net_55_075,201,201,201,226,-25,25.0,-12.437810945273633,12.437810945273633,215,-14,14.0,-6.965174129353234,6.965174129353234
11ld1,U-Net_55_075,479,477,477,482,-5,5.0,-1.0482180293501049,1.0482180293501049,471,6,6.0,1.257861635220126,1.257861635220126
11ld2,U-Net_55_075,320,319,319,331,-12,12.0,-3.761755485893417,3.761755485893417,322,-3,3.0,-0.9404388714733543,0.9404388714733543
11ll1,U-Net_55_075,473,465,465,487,-22,22.0,-4.731182795698925,4.731182795698925,469,-4,4.0,-0.8602150537634409,0.8602150537634409
11ll2,U-Net_55_075,272,272,272,296,-24,24.0,-8.823529411764707,8.823529411764707,282,-10,10.0,-3.6764705882352944,3.6764705882352944
11ll3,U-Net_55_075,165,165,165,184,-19,19.0,-11.515151515151516,11.515151515151516,178,-13,13.0,-7.878787878787878,7.878787878787878
11lr2,U-Net_55_075,510,505,506,454,52,52.0,10.276679841897234,10.276679841897234,445,61,61.0,12.055335968379447,12.055335968379447
