Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
3rr1,U-Net_55_2,399,398,398,340,58,58.0,14.572864321608039,14.572864321608039,331,67,67.0,16.834170854271356,16.834170854271356
3rr2,U-Net_55_2,239,236,236,244,-8,8.0,-3.389830508474576,3.389830508474576,238,-2,2.0,-0.847457627118644,0.847457627118644
3rr3,U-Net_55_2,162,159,159,174,-15,15.0,-9.433962264150944,9.433962264150944,167,-8,8.0,-5.031446540880504,5.031446540880504
3ru1,U-Net_55_2,398,394,394,342,52,52.0,13.19796954314721,13.19796954314721,337,57,57.0,14.467005076142131,14.467005076142131
3ru3,U-Net_55_2,287,281,281,278,3,3.0,1.0676156583629894,1.0676156583629894,274,7,7.0,2.491103202846975,2.491103202846975
40ld1,U-Net_55_2,419,417,417,324,93,93.0,22.302158273381295,22.302158273381295,320,97,97.0,23.26139088729017,23.26139088729017
40ld3,U-Net_55_2,213,213,213,245,-32,32.0,-15.023474178403756,15.023474178403756,235,-22,22.0,-10.328638497652582,10.328638497652582
40ll2,U-Net_55_2,224,223,223,230,-7,7.0,-3.1390134529147984,3.1390134529147984,222,1,1.0,0.4484304932735426,0.4484304932735426
40ll3,U-Net_55_2,180,180,180,183,-3,3.0,-1.6666666666666667,1.6666666666666667,180,0,0.0,0.0,0.0
40lr2,U-Net_55_2,333,333,333,295,38,38.0,11.411411411411411,11.411411411411411,290,43,43.0,12.912912912912914,12.912912912912914
40lr3,U-Net_55_2,169,169,169,183,-14,14.0,-8.284023668639055,8.284023668639055,175,-6,6.0,-3.5502958579881656,3.5502958579881656
40lu1,U-Net_55_2,353,350,350,311,39,39.0,11.142857142857142,11.142857142857142,304,46,46.0,13.142857142857142,13.142857142857142
40lu2,U-Net_55_2,398,396,396,342,54,54.0,13.636363636363635,13.636363636363635,334,62,62.0,15.656565656565657,15.656565656565657
40lu3,U-Net_55_2,252,251,251,255,-4,4.0,-1.593625498007968,1.593625498007968,245,6,6.0,2.3904382470119523,2.3904382470119523
40rd2,U-Net_55_2,406,406,406,297,109,109.0,26.84729064039409,26.84729064039409,292,114,114.0,28.078817733990146,28.078817733990146
40rl2,U-Net_55_2,456,454,454,304,150,150.0,33.03964757709251,33.03964757709251,298,156,156.0,34.36123348017621,34.36123348017621
40rl3,U-Net_55_2,299,299,299,290,9,9.0,3.0100334448160537,3.0100334448160537,288,11,11.0,3.678929765886288,3.678929765886288
40rr1,U-Net_55_2,447,446,446,234,212,212.0,47.53363228699551,47.53363228699551,229,217,217.0,48.654708520179376,48.654708520179376
40rr2,U-Net_55_2,292,290,290,182,108,108.0,37.24137931034483,37.24137931034483,179,111,111.0,38.275862068965516,38.275862068965516
40ru2,U-Net_55_2,412,411,411,287,124,124.0,30.170316301703163,30.170316301703163,276,135,135.0,32.846715328467155,32.846715328467155
41_8_ld1,U-Net_55_2,501,501,502,377,125,125.0,24.900398406374503,24.900398406374503,373,129,129.0,25.697211155378486,25.697211155378486
41_8_ld2,U-Net_55_2,486,485,485,354,131,131.0,27.010309278350515,27.010309278350515,353,132,132.0,27.216494845360824,27.216494845360824
41_8_ld3,U-Net_55_2,297,297,297,290,7,7.0,2.356902356902357,2.356902356902357,285,12,12.0,4.040404040404041,4.040404040404041
41_8_ll1,U-Net_55_2,367,364,364,328,36,36.0,9.89010989010989,9.89010989010989,319,45,45.0,12.362637362637363,12.362637362637363
41_8_ll3,U-Net_55_2,127,125,125,149,-24,24.0,-19.2,19.2,141,-16,16.0,-12.8,12.8
41_8_lr1,U-Net_55_2,512,510,509,347,162,162.0,31.827111984282908,31.827111984282908,344,165,165.0,32.416502946954814,32.416502946954814
41_8_lr2,U-Net_55_2,511,509,509,381,128,128.0,25.147347740667975,25.147347740667975,376,133,133.0,26.129666011787815,26.129666011787815
41_8_lr3,U-Net_55_2,314,313,313,303,10,10.0,3.1948881789137378,3.1948881789137378,301,12,12.0,3.8338658146964857,3.8338658146964857
41_8_lu2,U-Net_55_2,500,497,497,379,118,118.0,23.74245472837022,23.74245472837022,375,122,122.0,24.547283702213278,24.547283702213278
41_8_lu3,U-Net_55_2,320,319,319,303,16,16.0,5.015673981191222,5.015673981191222,294,25,25.0,7.836990595611286,7.836990595611286
41_8_rd1,U-Net_55_2,500,500,500,350,150,150.0,30.0,30.0,343,157,157.0,31.4,31.4
41_8_rd2,U-Net_55_2,452,452,452,367,85,85.0,18.805309734513273,18.805309734513273,360,92,92.0,20.353982300884958,20.353982300884958
41_8_rd3,U-Net_55_2,316,315,315,304,11,11.0,3.492063492063492,3.492063492063492,298,17,17.0,5.396825396825397,5.396825396825397
41_8_rl1,U-Net_55_2,500,499,499,326,173,173.0,34.66933867735471,34.66933867735471,319,180,180.0,36.07214428857716,36.07214428857716
41_8_rl3,U-Net_55_2,136,135,135,158,-23,23.0,-17.037037037037038,17.037037037037038,145,-10,10.0,-7.4074074074074066,7.4074074074074066
41_8_rr1,U-Net_55_2,474,473,473,340,133,133.0,28.118393234672308,28.118393234672308,339,134,134.0,28.32980972515856,28.32980972515856
41_8_rr2,U-Net_55_2,502,501,501,388,113,113.0,22.55489021956088,22.55489021956088,385,116,116.0,23.15369261477046,23.15369261477046
41_8_rr3,U-Net_55_2,324,323,323,301,22,22.0,6.811145510835913,6.811145510835913,295,28,28.0,8.6687306501548,8.6687306501548
41_8_ru1,U-Net_55_2,466,464,464,370,94,94.0,20.25862068965517,20.25862068965517,364,100,100.0,21.551724137931032,21.551724137931032
