Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
10ld1,U-Net_55_05,381,379,379,402,-23,23.0,-6.068601583113456,6.068601583113456,394,-15,15.0,-3.95778364116095,3.95778364116095
10ld3,U-Net_55_05,239,238,238,294,-56,56.0,-23.52941176470588,23.52941176470588,279,-41,41.0,-17.22689075630252,17.22689075630252
10ll1,U-Net_55_05,341,338,338,404,-66,66.0,-19.526627218934912,19.526627218934912,393,-55,55.0,-16.272189349112427,16.272189349112427
10lr2,U-Net_55_05,349,346,346,384,-38,38.0,-10.982658959537572,10.982658959537572,374,-28,28.0,-8.092485549132949,8.092485549132949
10lr3,U-Net_55_05,183,182,182,260,-78,78.0,-42.857142857142854,42.857142857142854,245,-63,63.0,-34.61538461538461,34.61538461538461
10lu1,U-Net_55_05,380,377,377,410,-33,33.0,-8.753315649867375,8.753315649867375,400,-23,23.0,-6.10079575596817,6.10079575596817
10lu2,U-Net_55_05,392,387,387,399,-12,12.0,-3.10077519379845,3.10077519379845,389,-2,2.0,-0.516795865633075,0.516795865633075
10lu3,U-Net_55_05,171,170,170,296,-126,126.0,-74.11764705882354,74.11764705882354,281,-111,111.0,-65.29411764705883,65.29411764705883
10rd2,U-Net_55_05,419,417,417,412,5,5.0,1.1990407673860912,1.1990407673860912,402,15,15.0,3.597122302158273,3.597122302158273
10rl1,U-Net_55_05,417,416,416,428,-12,12.0,-2.8846153846153846,2.8846153846153846,413,3,3.0,0.7211538461538461,0.7211538461538461
10rl2,U-Net_55_05,373,371,371,0,371,371.0,100.0,100.0,0,371,371.0,100.0,100.0
10rr1,U-Net_55_05,448,444,444,438,6,6.0,1.3513513513513513,1.3513513513513513,421,23,23.0,5.18018018018018,5.18018018018018
10rr2,U-Net_55_05,237,235,235,0,235,235.0,100.0,100.0,0,235,235.0,100.0,100.0
10rr3,U-Net_55_05,175,176,176,212,-36,36.0,-20.454545454545457,20.454545454545457,200,-24,24.0,-13.636363636363635,13.636363636363635
10ru1,U-Net_55_05,386,384,384,413,-29,29.0,-7.552083333333333,7.552083333333333,402,-18,18.0,-4.6875,4.6875
10ru2,U-Net_55_05,416,413,413,0,413,413.0,100.0,100.0,0,413,413.0,100.0,100.0
10ru3,U-Net_55_05,201,201,201,234,-33,33.0,-16.417910447761194,16.417910447761194,223,-22,22.0,-10.945273631840797,10.945273631840797
11ld1,U-Net_55_05,479,477,477,484,-7,7.0,-1.4675052410901468,1.4675052410901468,473,4,4.0,0.8385744234800839,0.8385744234800839
11ld2,U-Net_55_05,320,319,319,332,-13,13.0,-4.075235109717868,4.075235109717868,323,-4,4.0,-1.2539184952978055,1.2539184952978055
11ll1,U-Net_55_05,473,465,465,488,-23,23.0,-4.946236559139785,4.946236559139785,470,-5,5.0,-1.0752688172043012,1.0752688172043012
11ll2,U-Net_55_05,272,272,272,299,-27,27.0,-9.926470588235293,9.926470588235293,285,-13,13.0,-4.779411764705882,4.779411764705882
11ll3,U-Net_55_05,165,165,165,185,-20,20.0,-12.121212121212121,12.121212121212121,179,-14,14.0,-8.484848484848486,8.484848484848486
11lr2,U-Net_55_05,510,505,506,459,47,47.0,9.288537549407115,9.288537549407115,450,56,56.0,11.067193675889328,11.067193675889328
