Animal Name,Network Type,Manual GT Cells,Auto method GT Cells method 1 ,Auto method GT Cells method 2 ,Reconstructed Cells,Difference (gt- pred),Abs Difference,Error rate,Abs Error rate,removed overlapped cells,Difference (gt- pred_e),Abs Difference enh,Error rate enh,Abs Error rate enh
3rr3,U-Net,162,159,159,185,-26,26.0,-16.352201257861633,16.352201257861633,176,-17,17.0,-10.69182389937107,10.69182389937107
3ru1,U-Net,398,394,394,383,11,11.0,2.7918781725888326,2.7918781725888326,373,21,21.0,5.32994923857868,5.32994923857868
3ru3,U-Net,287,281,281,298,-17,17.0,-6.049822064056939,6.049822064056939,291,-10,10.0,-3.558718861209965,3.558718861209965
40ld1,U-Net,419,417,417,391,26,26.0,6.235011990407674,6.235011990407674,382,35,35.0,8.393285371702639,8.393285371702639
40ld3,U-Net,213,213,213,248,-35,35.0,-16.431924882629108,16.431924882629108,238,-25,25.0,-11.737089201877934,11.737089201877934
40ll2,U-Net,224,223,223,241,-18,18.0,-8.071748878923767,8.071748878923767,232,-9,9.0,-4.0358744394618835,4.0358744394618835
40ll3,U-Net,180,180,180,192,-12,12.0,-6.666666666666667,6.666666666666667,189,-9,9.0,-5.0,5.0
40lr2,U-Net,333,333,333,353,-20,20.0,-6.006006006006006,6.006006006006006,342,-9,9.0,-2.7027027027027026,2.7027027027027026
40lr3,U-Net,169,169,169,189,-20,20.0,-11.834319526627219,11.834319526627219,180,-11,11.0,-6.508875739644971,6.508875739644971
40lu1,U-Net,353,350,350,344,6,6.0,1.7142857142857144,1.7142857142857144,337,13,13.0,3.7142857142857144,3.7142857142857144
40lu2,U-Net,398,396,396,390,6,6.0,1.5151515151515151,1.5151515151515151,378,18,18.0,4.545454545454546,4.545454545454546
40lu3,U-Net,252,251,251,277,-26,26.0,-10.358565737051793,10.358565737051793,265,-14,14.0,-5.577689243027888,5.577689243027888
40rd2,U-Net,406,406,406,347,59,59.0,14.532019704433496,14.532019704433496,342,64,64.0,15.763546798029557,15.763546798029557
40rl2,U-Net,456,454,454,355,99,99.0,21.80616740088106,21.80616740088106,344,110,110.0,24.229074889867842,24.229074889867842
40rl3,U-Net,299,299,299,312,-13,13.0,-4.3478260869565215,4.3478260869565215,309,-10,10.0,-3.3444816053511706,3.3444816053511706
40rr1,U-Net,447,446,446,263,183,183.0,41.03139013452915,41.03139013452915,255,191,191.0,42.82511210762332,42.82511210762332
40rr2,U-Net,292,290,290,216,74,74.0,25.517241379310345,25.517241379310345,213,77,77.0,26.551724137931032,26.551724137931032
40ru2,U-Net,412,411,411,338,73,73.0,17.761557177615572,17.761557177615572,326,85,85.0,20.68126520681265,20.68126520681265
41_8_ld1,U-Net,501,501,502,460,42,42.0,8.366533864541832,8.366533864541832,445,57,57.0,11.354581673306772,11.354581673306772
41_8_ld2,U-Net,486,485,485,446,39,39.0,8.041237113402062,8.041237113402062,437,48,48.0,9.896907216494846,9.896907216494846
41_8_ld3,U-Net,297,297,297,311,-14,14.0,-4.713804713804714,4.713804713804714,299,-2,2.0,-0.6734006734006733,0.6734006734006733
41_8_ll1,U-Net,367,364,364,361,3,3.0,0.8241758241758242,0.8241758241758242,349,15,15.0,4.1208791208791204,4.1208791208791204
41_8_ll3,U-Net,127,125,125,151,-26,26.0,-20.8,20.8,142,-17,17.0,-13.600000000000001,13.600000000000001
41_8_lr1,U-Net,512,510,509,448,61,61.0,11.984282907662083,11.984282907662083,438,71,71.0,13.948919449901767,13.948919449901767
41_8_lr2,U-Net,511,509,509,459,50,50.0,9.823182711198427,9.823182711198427,448,61,61.0,11.984282907662083,11.984282907662083
41_8_lr3,U-Net,314,313,313,321,-8,8.0,-2.5559105431309903,2.5559105431309903,317,-4,4.0,-1.2779552715654952,1.2779552715654952
41_8_lu2,U-Net,500,497,497,452,45,45.0,9.054325955734406,9.054325955734406,440,57,57.0,11.468812877263582,11.468812877263582
41_8_lu3,U-Net,320,319,319,335,-16,16.0,-5.015673981191222,5.015673981191222,321,-2,2.0,-0.6269592476489028,0.6269592476489028
41_8_rd1,U-Net,500,500,500,432,68,68.0,13.600000000000001,13.600000000000001,422,78,78.0,15.6,15.6
41_8_rd2,U-Net,452,452,452,426,26,26.0,5.752212389380531,5.752212389380531,413,39,39.0,8.628318584070795,8.628318584070795
41_8_rd3,U-Net,316,315,315,339,-24,24.0,-7.6190476190476195,7.6190476190476195,330,-15,15.0,-4.761904761904762,4.761904761904762
41_8_rl1,U-Net,500,499,499,428,71,71.0,14.228456913827655,14.228456913827655,411,88,88.0,17.635270541082164,17.635270541082164
41_8_rl3,U-Net,136,135,135,161,-26,26.0,-19.25925925925926,19.25925925925926,148,-13,13.0,-9.62962962962963,9.62962962962963
